num,angular_velocity
1,52.2984008511
2,52.7563286826
3,53.2153685774
4,54.1319971612
5,55.5044968053
6,55.5059224764
7,55.5085469058
8,55.96701457
9,55.5094159345
10,55.5091249227
11,55.9673055878
12,56.8859951096
13,58.2613386695
14,58.2619398322
15,58.2518503125
16,58.2518503125
17,58.7209887854
18,59.1794556911
19,59.1806961081
20,60.0972864337
21,60.0975965541
22,60.5557104527
23,61.4713275575
24,61.0141583136
25,60.5563579889
26,61.0106385172
27,61.461715874
28,61.9243214655
29,62.3914053654
30,62.3923786662
31,62.85147059
32,62.8504972891
33,62.849174181
34,63.3082549962
35,64.6845065458
36,65.1399297986
37,64.22410283
38,64.6868888469
39,65.1446383534
40,65.1446383534
41,66.0632056308
42,66.9793570118
43,66.9772606456
44,66.5181639719
45,66.519557055
46,67.4377599514
47,67.4384632345
48,67.8968564852
49,68.813685338
50,68.813685338
51,68.354922619
52,68.8144008861
53,70.1899472549
54,70.1885038943
55,70.1877762655
56,71.107496334
57,71.5662399697
58,72.0235045846
59,71.5654956421
60,70.6476148729
61,71.5658750349
62,72.9425089812
63,73.858488669
64,73.3978438628
65,72.9387112409
66,72.9394649698
67,72.480349328
68,73.8589128979
69,74.3207075741
70,74.7770990978
71,75.6844590651
72,74.7696940407
73,75.2382548492
74,76.1538117989
75,76.6109685488
76,76.6109761636
77,75.235890544
78,74.7775258187
79,75.6958506966
80,77.0729288102
81,77.5304987587
82,77.5300932251
83,77.9880401313
84,77.9868235811
85,78.4459743848
86,79.3638687241
87,80.2818028065
88,79.8222418325
89,78.9043156403
90,78.9055464772
91,79.8230447579
92,80.2834582546
93,80.2842979386
94,80.2842979386
95,79.8255432936
96,80.6416880725
97,82.0175468412
98,82.5669698585
99,82.0971586315
100,82.1074782128
101,82.5764224326
102,82.572549921
103,83.0317323769
104,83.4930699002
105,83.9518314263
106,83.9531339048
107,83.0373451223
108,83.4939095654
109,84.8697826294
110,84.8702299729
111,84.4105761718
112,83.9531302168
113,84.868403708
114,86.7043610994
115,86.7066033208
116,85.7872839738
117,85.7868441351
118,86.706163482
119,87.6255019131
120,88.0833581171
121,88.5411958789
122,87.164020328
123,86.7057245327
124,88.5402744754
125,89.4578094556
126,88.5398507121
127,87.6200257074
128,88.5384472171
129,89.9151504221
130,90.8345461056
131,90.831703384
132,89.9109105321
133,89.4531347968
134,90.3720292367
135,91.7520719637
136,91.7520719637
137,89.9026331494
138,89.9040592144
139,91.7515705714
140,92.2079526195
141,91.2914004319
142,91.293785874
143,91.7534980287
144,93.1268521233
145,94.9624182868
146,93.5876237225
147,92.2108250491
148,93.5861015344
149,94.960915458
150,95.4206608562
151,94.9638733446
152,94.0483135717
153,94.0478221399
154,94.9613877873
155,95.4186667307
156,94.04342837
157,94.04342837
158,95.4211570281
159,96.3376519866
160,96.7918921924
161,96.3351523072
162,95.8794236165
163,95.8804255543
164,97.2581780663
165,97.2546618336
166,96.3351520457
167,96.3371653874
168,97.7164734836
169,99.0906764621
170,98.6324194884
171,96.7989528482
172,96.3371365482
173,98.6324720874
174,99.5499690836
175,98.6314131023
176,98.1747113838
177,99.0901472393
178,100.006622613
179,100.006612614
180,99.5483747835
181,100.010272399
182,101.387085732
183,102.760143209
184,101.840527687
185,99.0906474159
186,100.926160679
187,103.218905127
188,101.845294316
189,100.46904506
190,101.382838934
191,103.216773457
192,102.302979582
193,100.928323034
194,101.385506525
195,102.763397766
196,103.680374553
197,103.680374553
198,102.762338641
199,102.30356638
200,103.68253106
201,104.138068628
202,102.758574402
203,102.761809095
204,104.596773087
205,105.053913638
206,104.136436917
207,104.595194866
208,105.972532583
209,106.431833322
210,105.056112901
211,103.680913662
212,105.507552309
213,105.964682401
214,105.054451808
215,105.514866239
216,105.972507766
217,107.345446729
218,107.807534627
219,105.515962498
220,104.596243623
221,106.890630574
222,108.727884245
223,106.887909103
224,104.132619532
225,106.422268524
226,109.174730339
227,109.181553014
228,107.806428917
229,105.973070695
230,107.808083404
231,109.636321731
232,109.174719138
233,109.178692704
234,108.723341081
235,108.267417069
236,108.267427896
237,108.723930524
238,110.558962316
239,112.853863637
240,111.477022058
241,105.974121354
242,107.350380886
243,111.935775235
244,111.018268881
245,110.097889166
246,111.476496046
247,112.39512969
248,111.018229353
249,108.723408012
250,109.639789871
251,111.477604106
252,111.477604106
253,112.395697279
254,113.771971123
255,114.231912287
256,114.233701443
257,112.396902919
258,110.098461611
259,110.097316635
260,110.098450555
261,111.018277003
262,112.855037287
263,113.770787956
264,115.605197332
265,116.06393427
266,116.063335353
267,117.901417731
268,117.903249751
269,117.897699035
270,119.274612204
271,120.651441702
272,119.733291252
273,118.818303794
274,120.193962181
275,120.654590355
276,116.98452677
277,113.31203955
278,114.689525236
279,115.608214758
280,113.771971123
281,112.853868408
282,114.687688409
283,116.064549072
284,115.149437726
285,116.066953622
286,118.361411326
287,118.363243422
288,116.986320698
289,117.443862007
290,118.357692527
291,117.430450666
292,116.514802401
293,116.522083589
294,116.522689491
295,116.066362007
296,115.147641935
297,115.147641935
298,116.526952051
299,116.065196124
300,114.687078715
301,116.063295036
302,116.976569699
303,116.521477952
304,116.065169349
305,116.980846124
306,118.357680614
307,117.897706221
308,116.522073956
309,116.061512857
310,117.437760553
311,116.983851781
312,113.770845305
313,114.674313953
314,116.972249595
315,115.609417071
316,115.608205203
317,117.44325608
318,117.903240208
319,116.069382115
320,115.148820313
321,116.983909359
322,117.896521163
323,116.516597553
324,115.607003028
325,116.515308628
326,116.514707459
327,115.604587056
328,116.519679318
329,117.43959204
330,116.523898622
331,115.606401809
332,116.062740944
333,117.442063448
334,117.904471161
335,116.505884795
336,115.585935671
337,116.522684603
338,116.522673043
339,116.065148172
340,116.526336594
341,116.984483869
342,116.984483869
343,116.065775289
344,116.064563422
345,116.982649598
346,116.983255525
347,116.064556696
348,116.518427211
349,117.897105229
350,117.897116972
351,116.063886171
352,116.525692524
353,118.360166086
354,116.525153378
355,114.688294298
356,115.606406555
357,117.443881117
358,116.526365221
359,115.139206195
360,116.516078981
361,117.442011233
362,116.066927603
363,115.610003914
364,117.441400256
365,117.897114381
366,115.606945777
367,115.151837593
368,116.983250818
369,117.43958031
370,116.522093222
371,116.520860171
372,116.983250818
373,116.508735607
374,116.04635652
375,116.065169349
376,116.525730654
377,116.525124727
378,116.065765647
379,116.065765647
380,116.523295406
381,116.520860171
382,115.143446446
383,116.059087356
384,116.980774754
385,116.985709987
386,116.064033965
387,115.601590731
388,116.9808224
389,116.523912909
390,114.686522631
391,115.093942505
392,117.848233235
393,117.438378227
394,115.146387147
395,115.608174388
396,117.902627321
397,116.523372075
398,115.145251821
399,116.52268683
400,117.441424111
401,116.068771404
402,115.149432992
403,116.982060184
404,117.423212741
405,116.040318474
406,116.516061611
407,116.981449524
408,116.980827133
409,116.060327695
410,116.062782105
411,117.443866778
412,117.442023015
413,116.519078077
414,117.897835009
415,119.277085635
416,119.27771066
417,121.11587699
418,123.865242434
419,126.156470131
420,126.618510516
421,126.619814632
422,127.532002976
423,128.448873138
424,129.367695976
425,129.825781229
426,129.369741372
427,129.829172015
428,129.825135972
429,129.366378024
430,130.743941012
431,129.366996125
432,129.369070315
433,130.744669827
434,131.663578864
435,131.204817614
436,129.367702186
437,132.120205469
438,132.116818354
439,129.364315071
440,132.123058729
441,132.121055083
442,127.988776146
443,131.661472384
444,134.41190037
445,128.905578182
446,130.286722999
447,134.410560577
448,129.363464547
449,129.369689901
450,133.037024569
451,131.659423452
452,131.202040577
453,133.95873898
454,130.750094478
455,129.373085872
456,132.583104403
457,131.664204908
458,132.121597268
459,132.121597268
460,132.120213755
461,133.953141631
462,133.497819819
463,133.960093909
464,135.332889506
465,133.035627754
466,133.039849204
467,135.791599651
468,135.32306302
469,133.48949141
470,134.413269775
471,135.332182516
472,135.793063507
473,133.96007851
474,134.874722364
475,136.249645977
476,133.495787405
477,136.706396478
478,137.166536871
479,132.120199442
480,133.958738386
481,135.79516332
482,134.417471928
483,134.873434109
484,135.793082679
485,135.33642392
486,134.874121131
487,135.790940464
488,135.790940464
489,135.790220794
490,136.251812677
491,137.17219523
492,135.795196182
493,135.332869538
494,136.251101096
495,136.251811943
496,136.708446804
497,135.792343104
498,135.791632257
499,135.78812573
500,136.245442945
501,138.084720782
502,136.249765321
503,133.494393239
504,137.166508217
505,138.543459512
506,133.954553769
507,136.245385989
508,138.999279024
509,135.79303014
510,135.79086957
511,138.083986587
512,136.247638527
513,136.246183851
514,138.540550342
515,137.625190471
516,135.793760912
517,137.168612988
518,138.542037878
519,137.164342325
520,136.706300608
521,138.542754109
522,137.627384423
523,134.875538069
524,136.251798151
525,136.711266991
526,136.251811943
527,138.545649394
528,138.545649394
529,136.707011455
530,137.624517809
531,139.003663053
532,137.171455712
533,137.628014558
534,140.376984287
535,139.002900003
536,138.543440489
537,140.377021918
538,140.38064779
539,137.172180917
540,138.086042316
541,140.835756012
542,137.153245262
543,136.694492085
544,139.461691041
545,138.08400983
546,137.62667888
547,139.922587032
548,138.542754384
549,136.248965102
550,138.088304314
551,139.003672716
552,137.624512396
553,138.545649394
554,140.376268714
555,138.531220286
556,138.537803556
557,140.840884727
558,138.547753411
559,137.628777609
560,139.92117895
561,139.462425772
562,138.544166062
563,139.461672416
564,140.381392093
565,138.547801123
566,138.999946949
567,140.832078074
568,138.541985997
569,138.544905748
570,140.377012498
571,139.459487059
572,139.465326561
573,140.380662163
574,139.00218463
575,138.541246892
576,140.832831979
577,141.29741952
578,138.548512014
579,139.466056537
580,142.21644297
581,139.462387605
582,139.463866594
583,141.29818751
584,139.004373915
585,139.005103875
586,141.298903249
587,139.921885682
588,139.005834432
589,141.296665859
590,142.211252341
591,139.46024135
592,139.001474044
593,140.379169321
594,139.005085174
595,140.840130912
596,141.758395883
